epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.392,1.27101,5.82603,1.3121,0.28049,0.34323,0.26668,0.16197,1.25317,6.13351,1.34791,0.000333008,0.000333008,0.000333008
2,350.138,1.26404,5.12016,1.32749,0.39999,0.39875,0.35239,0.22666,1.21376,5.66514,1.33996,0.000653148,0.000653148,0.000653148
3,519.518,1.24537,4.84619,1.31713,0.44405,0.45983,0.4331,0.27837,1.1834,5.3194,1.30785,0.000960087,0.000960087,0.000960087
4,688.182,1.19561,4.53564,1.29284,0.32087,0.42838,0.34506,0.22817,1.13442,5.90963,1.27381,0.0009406,0.0009406,0.0009406
5,856.537,1.14506,4.25117,1.2576,0.44934,0.42621,0.40795,0.28175,1.10554,5.68315,1.25884,0.0009208,0.0009208,0.0009208
6,1024.84,1.11971,4.0892,1.24558,0.43295,0.43376,0.41452,0.28641,1.07041,5.45921,1.2383,0.000901,0.000901,0.000901
7,1193.02,1.08744,3.94224,1.22556,0.55021,0.46242,0.51279,0.35323,1.02138,4.89403,1.20459,0.0008812,0.0008812,0.0008812
8,1361.46,1.06325,3.78631,1.20951,0.52746,0.50443,0.48544,0.33641,1.01086,5.46769,1.19794,0.0008614,0.0008614,0.0008614
9,1529.77,1.03742,3.65776,1.19358,0.55401,0.46476,0.50531,0.35193,1.0045,5.47543,1.19616,0.0008416,0.0008416,0.0008416
10,1698.01,1.02458,3.56153,1.18375,0.47393,0.49348,0.48196,0.34581,0.99911,5.46057,1.19117,0.0008218,0.0008218,0.0008218
11,1866.2,1.01104,3.50299,1.18001,0.53488,0.4487,0.47242,0.33967,0.98749,5.51857,1.17929,0.000802,0.000802,0.000802
12,2034.62,0.9939,3.39164,1.16811,0.53981,0.51984,0.51659,0.37207,0.95444,5.23997,1.16362,0.0007822,0.0007822,0.0007822
13,2205,0.98298,3.30933,1.16121,0.51511,0.48391,0.49662,0.35412,0.97716,5.40576,1.16412,0.0007624,0.0007624,0.0007624
14,2374.62,0.97131,3.24557,1.15151,0.54258,0.49459,0.51547,0.37379,0.95653,5.36242,1.14977,0.0007426,0.0007426,0.0007426
15,2545.01,0.95993,3.16546,1.14516,0.55606,0.52539,0.53796,0.38745,0.95548,5.18693,1.15318,0.0007228,0.0007228,0.0007228
16,2715.92,0.95058,3.13374,1.14337,0.60268,0.50294,0.52491,0.38673,0.92087,5.45426,1.13043,0.000703,0.000703,0.000703
17,2886.59,0.94688,3.0964,1.13689,0.58477,0.4985,0.52121,0.37653,0.94974,5.55985,1.16122,0.0006832,0.0006832,0.0006832
18,3056.7,0.9327,3.02291,1.12816,0.6019,0.48192,0.52223,0.383,0.94688,5.50179,1.14774,0.0006634,0.0006634,0.0006634
19,3226.85,0.92709,2.98746,1.12574,0.66222,0.46477,0.52798,0.38841,0.94422,5.86082,1.14042,0.0006436,0.0006436,0.0006436
20,3397.27,0.91727,2.92542,1.12081,0.53985,0.49427,0.50488,0.37439,0.91965,5.48011,1.13281,0.0006238,0.0006238,0.0006238
21,3567.97,0.90753,2.86663,1.11175,0.59341,0.47895,0.51159,0.37721,0.94352,5.95477,1.14425,0.000604,0.000604,0.000604
22,3737.78,0.909,2.85522,1.11191,0.58439,0.45785,0.49777,0.3704,0.93314,6.23988,1.14378,0.0005842,0.0005842,0.0005842
23,3908.07,0.8933,2.80522,1.10707,0.59653,0.49763,0.53852,0.39695,0.92479,6.35771,1.13726,0.0005644,0.0005644,0.0005644
24,4078.32,0.88675,2.73066,1.09811,0.6072,0.48595,0.51605,0.38744,0.91921,6.03678,1.14843,0.0005446,0.0005446,0.0005446
25,4247.22,0.88233,2.6936,1.09579,0.60038,0.4944,0.53099,0.39303,0.92591,6.11085,1.14247,0.0005248,0.0005248,0.0005248
26,4415.48,0.87122,2.66125,1.09498,0.61386,0.48215,0.53039,0.39394,0.90987,5.95753,1.13736,0.000505,0.000505,0.000505
27,4583.23,0.86612,2.61898,1.08467,0.61966,0.49443,0.53182,0.39825,0.9202,6.50395,1.1324,0.0004852,0.0004852,0.0004852
28,4751.54,0.86029,2.57393,1.08551,0.61503,0.48497,0.52035,0.39189,0.92097,6.56604,1.14254,0.0004654,0.0004654,0.0004654
29,4919.14,0.86288,2.55579,1.08264,0.57258,0.51797,0.5319,0.39873,0.91569,5.87081,1.13162,0.0004456,0.0004456,0.0004456
30,5087.91,0.85764,2.53502,1.0805,0.61345,0.49806,0.53369,0.39942,0.9165,6.25159,1.13794,0.0004258,0.0004258,0.0004258
31,5257.62,0.85008,2.48107,1.07774,0.6252,0.48432,0.52779,0.39875,0.9044,6.32597,1.12349,0.000406,0.000406,0.000406
32,5427.89,0.84099,2.44322,1.0709,0.63093,0.49848,0.53594,0.40557,0.91071,6.23006,1.12631,0.0003862,0.0003862,0.0003862
33,5596.35,0.83573,2.39707,1.06586,0.6401,0.51301,0.54789,0.41499,0.89853,5.99381,1.12382,0.0003664,0.0003664,0.0003664
34,5764.94,0.83392,2.37775,1.06454,0.71443,0.48414,0.54743,0.41253,0.90575,6.44121,1.12886,0.0003466,0.0003466,0.0003466
35,5933.36,0.82462,2.34038,1.06197,0.64013,0.49824,0.53385,0.40625,0.88992,6.36606,1.11988,0.0003268,0.0003268,0.0003268
36,6101.5,0.82343,2.31879,1.05766,0.63834,0.51481,0.54392,0.4136,0.90358,6.62074,1.12774,0.000307,0.000307,0.000307
37,6269.45,0.8193,2.29993,1.05777,0.61208,0.50982,0.53086,0.40428,0.89031,6.58247,1.12122,0.0002872,0.0002872,0.0002872
