epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.855,1.36367,7.30485,1.35096,0.22625,0.37776,0.20969,0.12355,1.32614,6.5561,1.41916,0.000333008,0.000333008,0.000333008
2,414.976,1.41376,6.10115,1.39239,0.31426,0.3619,0.28641,0.17422,1.32621,6.43966,1.43107,0.000653148,0.000653148,0.000653148
3,614.129,1.37471,5.7806,1.37027,0.39627,0.39862,0.34574,0.20507,1.2539,5.75332,1.37235,0.000960087,0.000960087,0.000960087
4,811.463,1.33384,5.43817,1.35244,0.36564,0.42673,0.35068,0.22474,1.21267,5.70181,1.33104,0.0009406,0.0009406,0.0009406
5,1009.67,1.27566,5.09762,1.31432,0.4612,0.40061,0.40628,0.27207,1.16986,5.68121,1.31002,0.0009208,0.0009208,0.0009208
6,1207.03,1.2461,4.84522,1.29893,0.43915,0.4407,0.41866,0.28505,1.14789,5.66715,1.28688,0.000901,0.000901,0.000901
7,1404.83,1.21325,4.65952,1.27772,0.50383,0.45779,0.47606,0.31501,1.10138,5.16562,1.25022,0.0008812,0.0008812,0.0008812
8,1602.56,1.1932,4.5063,1.26638,0.41255,0.48477,0.44661,0.30794,1.09012,5.54281,1.2519,0.0008614,0.0008614,0.0008614
9,1800.03,1.16809,4.35138,1.24846,0.51593,0.4792,0.50576,0.35188,1.08492,5.34357,1.25084,0.0008416,0.0008416,0.0008416
10,1998.26,1.15129,4.19285,1.23821,0.53432,0.43743,0.47858,0.34192,1.05258,5.43602,1.2347,0.0008218,0.0008218,0.0008218
11,2196.14,1.13055,4.12953,1.23239,0.50756,0.49486,0.48579,0.3383,1.03276,5.53371,1.21214,0.000802,0.000802,0.000802
12,2393.2,1.11818,3.99107,1.22349,0.53107,0.47423,0.47235,0.34543,1.02324,5.73766,1.20561,0.0007822,0.0007822,0.0007822
13,2591.11,1.10336,3.8962,1.21331,0.55667,0.4771,0.50991,0.36114,1.03053,5.5845,1.20385,0.0007624,0.0007624,0.0007624
14,2789.11,1.09298,3.80556,1.2029,0.57448,0.51139,0.55021,0.39244,1.00507,5.11795,1.195,0.0007426,0.0007426,0.0007426
15,2986.58,1.07328,3.72622,1.19438,0.55283,0.4606,0.4966,0.36031,1.01297,5.36778,1.20042,0.0007228,0.0007228,0.0007228
16,3184.46,1.06972,3.70516,1.1926,0.64601,0.47921,0.52206,0.37976,0.98586,5.47052,1.18041,0.000703,0.000703,0.000703
17,3382.44,1.06358,3.63877,1.18422,0.63841,0.441,0.50635,0.37015,1.01754,5.78699,1.21156,0.0006832,0.0006832,0.0006832
18,3579.93,1.04609,3.5313,1.17837,0.53429,0.51818,0.53097,0.38229,0.99316,5.48406,1.18677,0.0006634,0.0006634,0.0006634
19,3777.56,1.03983,3.48307,1.17337,0.60658,0.50619,0.52184,0.38507,0.97191,5.52226,1.1703,0.0006436,0.0006436,0.0006436
20,3975.94,1.02876,3.43307,1.16939,0.61171,0.48379,0.52134,0.38792,0.96182,5.54499,1.17178,0.0006238,0.0006238,0.0006238
